paper_failure_mode,cases,usable,initial_category_accuracy_pct,initial_expected_category_is_top_pct,initial_exact_scorable,initial_expected_exact_is_top_pct,question_coverage_pct,final_category_accuracy_when_matched_pct,expected_final_category_added_when_matched_pct,final_expected_category_is_top_when_matched_pct,final_exact_scorable_matched,final_exact_accuracy_when_matched_pct,expected_final_exact_added_when_matched_pct,final_expected_exact_is_top_when_matched_pct
,512,512,93.55,82.42,457,56.46,81.45,91.37,1.44,82.73,365,66.85,5.75,38.63
bankruptcy_collections_role_confusion,88,88,93.18,68.18,88,39.77,46.59,51.22,2.44,29.27,41,17.07,0.0,7.32
bankruptcy_vs_collections,20,20,55.0,50.0,20,50.0,40.0,100.0,0.0,100.0,8,62.5,62.5,25.0
criminal_vs_restraining,20,20,15.0,5.0,20,5.0,70.0,50.0,14.29,7.14,14,42.86,14.29,7.14
criminal_vs_restraining_wrong_stalking_default,60,60,95.0,66.67,60,63.33,76.67,82.61,8.7,21.74,46,71.74,8.7,21.74
domestic_violence,20,20,100.0,100.0,20,45.0,35.0,100.0,0.0,100.0,7,57.14,0.0,57.14
domestic_violence_low_question_coverage,90,90,100.0,100.0,90,75.56,80.0,100.0,0.0,100.0,72,26.39,9.72,5.56
employment_admin,20,20,50.0,50.0,10,0.0,10.0,50.0,0.0,50.0,1,0.0,0.0,0.0
employment_admin_ignores_hearing_signals,90,90,78.89,64.44,45,28.89,60.0,70.37,1.85,42.59,23,30.43,4.35,0.0
injury_location,20,20,95.0,95.0,20,95.0,75.0,26.67,13.33,6.67,15,26.67,13.33,6.67
injury_location_does_not_flip_off_clock,60,60,98.33,86.67,60,63.33,78.33,78.72,2.13,68.09,47,65.96,4.26,29.79
