swap_pair,cases,usable,initial_category_accuracy_pct,initial_expected_category_is_top_pct,initial_exact_scorable,initial_expected_exact_is_top_pct,question_coverage_pct,final_category_accuracy_when_matched_pct,expected_final_category_added_when_matched_pct,final_expected_category_is_top_when_matched_pct,final_exact_scorable_matched,final_exact_accuracy_when_matched_pct,expected_final_exact_added_when_matched_pct,final_expected_exact_is_top_when_matched_pct
bankruptcy_vs_collections,20,20,55.0,50.0,20,50.0,40.0,100.0,0.0,100.0,8,62.5,62.5,25.0
bankruptcy_vs_creditor,30,30,96.67,60.0,30,46.67,20.0,33.33,0.0,16.67,6,0.0,0.0,0.0
business_bankruptcy_vs_dissolution,28,28,85.71,71.43,28,25.0,53.57,73.33,6.67,40.0,15,0.0,0.0,0.0
contractor_vs_small_claims,30,30,96.67,43.33,30,43.33,63.33,78.95,10.53,57.89,19,73.68,15.79,47.37
copyright_vs_patent,30,30,100.0,100.0,30,56.67,100.0,100.0,0.0,100.0,30,80.0,6.67,30.0
criminal_case_vs_protection,30,30,90.0,60.0,30,56.67,53.33,56.25,18.75,0.0,16,25.0,18.75,0.0
criminal_vs_restraining,20,20,15.0,5.0,20,5.0,70.0,50.0,14.29,7.14,14,42.86,14.29,7.14
custody_vs_restraining,30,30,100.0,100.0,30,80.0,80.0,100.0,0.0,100.0,24,54.17,16.67,16.67
custody_vs_support,50,50,100.0,100.0,50,46.0,94.0,100.0,0.0,100.0,47,76.6,12.77,48.94
debtor_vs_creditor,20,20,70.0,50.0,20,45.0,55.0,90.91,18.18,54.55,11,63.64,18.18,45.45
defamation_vs_online_harassment,28,28,100.0,100.0,28,75.0,82.14,100.0,0.0,100.0,23,95.65,8.7,21.74
divorce_vs_restraining,30,30,100.0,100.0,30,93.33,90.0,100.0,0.0,100.0,27,11.11,11.11,0.0
domestic_violence,20,20,100.0,100.0,20,45.0,35.0,100.0,0.0,100.0,7,57.14,0.0,57.14
dui_vs_dmv,50,50,94.0,54.0,50,44.0,98.0,83.67,4.08,38.78,49,48.98,0.0,32.65
employee_vs_employer,20,20,60.0,45.0,10,10.0,90.0,66.67,0.0,50.0,10,30.0,0.0,10.0
employment_admin,20,20,50.0,50.0,10,0.0,10.0,50.0,0.0,50.0,1,0.0,0.0,0.0
employment_vs_state_hearing,30,30,56.67,50.0,15,0.0,60.0,61.11,0.0,61.11,7,0.0,0.0,0.0
guardianship_vs_elder_abuse,30,30,100.0,100.0,30,86.67,66.67,100.0,0.0,100.0,20,65.0,0.0,5.0
injury_location,20,20,95.0,95.0,20,95.0,75.0,26.67,13.33,6.67,15,26.67,13.33,6.67
judgment_vs_bankruptcy,30,30,96.67,73.33,30,46.67,66.67,40.0,0.0,25.0,20,35.0,0.0,15.0
license_vs_employment_discrimination,30,30,90.0,66.67,15,33.33,76.67,69.57,0.0,26.09,10,30.0,0.0,0.0
malpractice_vs_wrongful_death,30,30,100.0,100.0,30,50.0,90.0,100.0,0.0,100.0,27,66.67,11.11,48.15
medicaid_vs_guardianship,28,28,75.0,50.0,28,50.0,67.86,73.68,0.0,68.42,19,42.11,10.53,10.53
mold_vs_tenant,28,28,71.43,60.71,28,50.0,35.71,80.0,0.0,80.0,10,80.0,0.0,80.0
paternity_vs_custody,30,30,100.0,100.0,30,50.0,80.0,100.0,0.0,100.0,24,45.83,0.0,41.67
separation_vs_financial_abuse,30,30,100.0,100.0,30,53.33,70.0,100.0,0.0,100.0,21,14.29,0.0,0.0
ssd_vs_ssi,30,30,100.0,100.0,15,100.0,100.0,100.0,0.0,100.0,15,100.0,0.0,93.33
stalking_vs_restraining,30,30,100.0,73.33,30,70.0,100.0,96.67,3.33,33.33,30,96.67,3.33,33.33
tenant_vs_landlord,50,50,100.0,98.0,50,56.0,94.0,100.0,0.0,97.87,47,78.72,2.13,46.81
veterans_benefits_vs_va_loan,28,28,100.0,89.29,28,89.29,50.0,28.57,0.0,21.43,14,28.57,0.0,21.43
wages_vs_wrongful_discharge,30,30,100.0,100.0,0,,96.67,100.0,0.0,100.0,0,,,
work_injury_vs_personal_injury,30,30,96.67,73.33,30,60.0,73.33,54.55,4.55,31.82,22,54.55,4.55,31.82
workers_comp_vs_third_party,30,30,100.0,100.0,30,66.67,83.33,100.0,0.0,100.0,25,76.0,4.0,28.0
wrongful_discharge_vs_unemployment,30,30,90.0,76.67,15,53.33,43.33,84.62,7.69,46.15,6,66.67,16.67,0.0
