swap_pair,cases,usable,initial_category_accuracy_pct,initial_expected_category_is_top_pct,initial_exact_scorable,initial_expected_exact_is_top_pct,question_coverage_pct,final_category_accuracy_when_matched_pct,expected_final_category_added_when_matched_pct,final_expected_category_is_top_when_matched_pct,final_exact_scorable_matched,final_exact_accuracy_when_matched_pct,expected_final_exact_added_when_matched_pct,final_expected_exact_is_top_when_matched_pct
bankruptcy_vs_collections,60,60,53.33,50.0,60,50.0,41.67,100.0,4.0,88.0,25,40.0,28.0,16.0
bankruptcy_vs_creditor,90,90,95.56,64.44,90,51.11,17.78,31.25,0.0,18.75,16,0.0,0.0,0.0
business_bankruptcy_vs_dissolution,84,84,85.71,70.24,84,27.38,50.0,73.81,4.76,50.0,42,0.0,0.0,0.0
contractor_vs_small_claims,90,90,95.56,46.67,90,46.67,54.44,79.59,10.2,57.14,49,69.39,10.2,51.02
copyright_vs_patent,90,90,100.0,100.0,90,53.33,100.0,100.0,0.0,100.0,90,77.78,6.67,38.89
criminal_case_vs_protection,90,90,88.89,60.0,90,57.78,55.56,66.0,18.0,4.0,50,30.0,18.0,0.0
criminal_vs_restraining,60,60,20.0,3.33,60,3.33,73.33,47.73,9.09,9.09,44,36.36,6.82,2.27
custody_vs_restraining,90,90,100.0,100.0,90,80.0,77.78,100.0,0.0,100.0,70,44.29,5.71,17.14
custody_vs_support,150,150,100.0,100.0,150,50.67,90.67,100.0,0.0,100.0,136,77.94,11.03,49.26
debtor_vs_creditor,60,60,71.67,43.33,60,38.33,51.67,77.42,12.9,41.94,31,54.84,12.9,32.26
defamation_vs_online_harassment,84,84,100.0,100.0,84,78.57,86.9,100.0,0.0,100.0,73,90.41,5.48,24.66
divorce_vs_restraining,90,90,100.0,100.0,90,91.11,88.89,100.0,0.0,100.0,80,10.0,7.5,0.0
domestic_violence,60,60,100.0,100.0,60,45.0,40.0,100.0,0.0,100.0,24,62.5,0.0,62.5
dui_vs_dmv,150,150,96.0,53.33,150,42.0,98.0,84.35,2.04,42.18,147,48.98,0.0,38.78
employee_vs_employer,60,60,60.0,43.33,30,6.67,95.0,64.91,1.75,50.88,29,31.03,3.45,10.34
employment_admin,60,60,50.0,50.0,30,0.0,13.33,50.0,0.0,50.0,4,0.0,0.0,0.0
employment_vs_state_hearing,90,90,52.22,50.0,45,0.0,64.44,60.34,0.0,60.34,23,0.0,0.0,0.0
guardianship_vs_elder_abuse,90,90,100.0,98.89,90,85.56,66.67,100.0,0.0,100.0,60,71.67,1.67,11.67
injury_location,60,60,95.0,91.67,60,88.33,70.0,28.57,14.29,4.76,42,28.57,14.29,4.76
judgment_vs_bankruptcy,90,90,94.44,70.0,90,43.33,65.56,40.68,3.39,23.73,59,35.59,3.39,13.56
license_vs_employment_discrimination,90,90,95.56,67.78,45,37.78,65.56,74.58,1.69,30.51,25,44.0,4.0,0.0
malpractice_vs_wrongful_death,90,90,98.89,98.89,90,50.0,91.11,100.0,0.0,100.0,82,63.41,9.76,46.34
medicaid_vs_guardianship,84,84,77.38,51.19,84,51.19,66.67,69.64,0.0,66.07,56,46.43,14.29,12.5
mold_vs_tenant,84,84,72.62,59.52,84,50.0,32.14,81.48,0.0,81.48,27,81.48,0.0,81.48
paternity_vs_custody,90,90,100.0,100.0,90,58.89,74.44,100.0,0.0,100.0,67,49.25,4.48,32.84
separation_vs_financial_abuse,90,90,100.0,100.0,90,53.33,63.33,100.0,0.0,100.0,57,17.54,7.02,0.0
ssd_vs_ssi,90,90,100.0,98.89,45,100.0,98.89,100.0,0.0,100.0,44,100.0,2.27,90.91
stalking_vs_restraining,90,90,100.0,71.11,90,70.0,100.0,93.33,3.33,36.67,90,93.33,3.33,36.67
tenant_vs_landlord,150,150,99.33,98.0,150,54.0,94.0,99.29,0.0,97.87,141,82.27,6.38,41.13
veterans_benefits_vs_va_loan,84,84,100.0,88.1,84,88.1,53.57,35.56,6.67,22.22,45,35.56,6.67,22.22
wages_vs_wrongful_discharge,90,90,100.0,100.0,0,,96.67,100.0,0.0,100.0,0,,,
work_injury_vs_personal_injury,90,90,95.56,75.56,90,62.22,81.11,46.58,1.37,30.14,73,45.21,1.37,30.14
workers_comp_vs_third_party,90,90,100.0,100.0,90,63.33,85.56,100.0,0.0,100.0,77,81.82,7.79,38.96
wrongful_discharge_vs_unemployment,90,90,90.0,76.67,45,53.33,42.22,89.47,5.26,52.63,14,71.43,14.29,0.0
