run,group,scenarios,provider_error_scenarios,outcome_tiers,any_exact_sublabel_pct,all_exact_sublabels_pct,strict_exact_set_pct,any_correct_top_level_pct,all_correct_top_levels_pct,mean_exact_gold_coverage_pct,mean_graded_retrieval_score_pct,micro_exact_precision_pct,micro_exact_recall_pct,micro_exact_f1_pct,scenario_hits_at_1_pct,scenario_hits_at_2_pct,all_gold_within_top_2_pct,gold_instance_recall_at_1_pct,gold_instance_recall_at_2_pct,gold_label_instances,exact_gold_label_hits,category_only_gold_label_hits
run1,Administrative Law,33,0,"{'all_exact_sublabels': {'n': 26, 'pct': 78.79}, 'some_exact_sublabels': {'n': 6, 'pct': 18.18}, 'top_level_only': {'n': 1, 'pct': 3.03}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",96.97,78.79,9.09,100.0,93.94,88.64,92.8,45.88,85.11,59.62,93.94,93.94,78.79,68.09,80.85,47,40,5
run1,Bankruptcy,21,0,"{'all_exact_sublabels': {'n': 16, 'pct': 76.19}, 'some_exact_sublabels': {'n': 5, 'pct': 23.81}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",100.0,76.19,9.52,100.0,100.0,88.89,94.44,48.08,83.33,60.98,95.24,95.24,71.43,66.67,80.0,30,25,5
run1,Business and Corporate,28,0,"{'all_exact_sublabels': {'n': 18, 'pct': 64.29}, 'some_exact_sublabels': {'n': 9, 'pct': 32.14}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 1, 'pct': 3.57}}",96.43,64.29,3.57,96.43,85.71,80.95,86.31,45.95,75.56,57.14,92.86,96.43,64.29,57.78,75.56,45,34,7
run1,Consumer Law,32,0,"{'all_exact_sublabels': {'n': 26, 'pct': 81.25}, 'some_exact_sublabels': {'n': 3, 'pct': 9.38}, 'top_level_only': {'n': 3, 'pct': 9.38}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",90.62,81.25,18.75,100.0,90.62,85.94,90.62,45.0,79.55,57.48,87.5,90.62,75.0,63.64,75.0,44,35,6
run1,Criminal Law,36,0,"{'all_exact_sublabels': {'n': 31, 'pct': 86.11}, 'some_exact_sublabels': {'n': 3, 'pct': 8.33}, 'top_level_only': {'n': 2, 'pct': 5.56}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",94.44,86.11,16.67,100.0,97.22,90.05,94.56,46.67,85.71,60.43,77.78,94.44,86.11,57.14,85.71,49,42,6
run1,Debtor/Creditor,28,0,"{'all_exact_sublabels': {'n': 11, 'pct': 39.29}, 'some_exact_sublabels': {'n': 10, 'pct': 35.71}, 'top_level_only': {'n': 7, 'pct': 25.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",75.0,39.29,3.57,100.0,89.29,56.55,75.6,32.39,51.11,39.66,46.43,64.29,35.71,28.89,44.44,45,23,19
run1,Family Law,35,0,"{'all_exact_sublabels': {'n': 27, 'pct': 77.14}, 'some_exact_sublabels': {'n': 8, 'pct': 22.86}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",100.0,77.14,2.86,100.0,94.29,89.05,93.33,52.94,86.89,65.79,91.43,97.14,68.57,52.46,80.33,61,53,6
run1,General Litigation,48,0,"{'all_exact_sublabels': {'n': 34, 'pct': 70.83}, 'some_exact_sublabels': {'n': 12, 'pct': 25.0}, 'top_level_only': {'n': 2, 'pct': 4.17}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",95.83,70.83,4.17,100.0,89.58,82.64,88.89,49.26,77.11,60.12,83.33,91.67,66.67,48.19,71.08,83,64,14
run1,Intellectual Property,28,0,"{'all_exact_sublabels': {'n': 26, 'pct': 92.86}, 'some_exact_sublabels': {'n': 2, 'pct': 7.14}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",100.0,92.86,32.14,100.0,100.0,96.43,98.21,56.25,94.74,70.59,96.43,100.0,85.71,71.05,89.47,38,36,2
run1,International Law,24,0,"{'all_exact_sublabels': {'n': 18, 'pct': 75.0}, 'some_exact_sublabels': {'n': 3, 'pct': 12.5}, 'top_level_only': {'n': 1, 'pct': 4.17}, 'no_correct_category': {'n': 2, 'pct': 8.33}}",87.5,75.0,29.17,91.67,87.5,81.25,85.42,53.45,79.31,63.86,83.33,87.5,70.83,68.97,75.86,29,23,3
